99	100
X	Y	Species	Type	Diam	Height
276.839	161.826	3	3	72.9464	32.0741
255.696	240.429	4	3	72.6113	24.773
38.9196	157.983	4	3	71.8481	24.6826
58.3807	236.51	4	3	71.693	24.664
37.8963	177.617	3	3	71.4035	31.9325
104.898	182.399	4	3	70.3793	24.5036
71.8716	281.138	4	3	70.0781	24.4661
145.029	128.718	4	3	67.5015	24.1339
7.6873	43.1034	3	3	66.5505	31.4336
65.9441	126.541	4	3	66.3551	23.9793
5.39956	275.628	4	3	66.1752	23.9547
108.947	47.7602	3	3	66.0582	31.378
38.5448	232.578	4	3	66.0141	23.9325
194.506	270.486	4	3	65.394	23.8463
140.649	140.939	4	3	64.6078	23.7352
214.929	0.540585	3	3	64.5641	31.2033
109.617	57.1799	3	3	64.5323	31.1995
145.766	269.561	3	3	64.0313	31.1388
99.4996	139.804	3	3	63.9305	31.1265
272.231	5.60519	4	3	63.8841	23.631
228.643	59.3592	4	3	63.7423	23.6104
50.3841	230.379	4	3	61.9143	23.3379
255.739	143.583	4	3	61.7991	23.3203
222.736	55.1811	4	3	61.7073	23.3063
135.185	129.105	4	3	61.6843	23.3028
20.1375	42.4835	3	3	61.3985	30.8014
293.728	104.401	4	3	61.2554	23.2367
60.6463	245.333	4	3	60.7502	23.158
151.916	144.213	4	3	60.6882	23.1483
233.843	203.017	3	3	60.5724	30.6889
259.085	46.5143	2	3	60.3391	22.7119
161.859	119.978	4	3	60.0374	23.0453
166.236	176.932	3	3	59.274	30.5052
247.759	228.494	4	3	58.9608	22.8713
239.105	45.8607	4	3	58.8851	22.8589
258.49	228.98	7	3	58.7436	28.7057
216.393	118.756	3	3	58.612	30.4083
66.9767	268.855	4	3	58.5299	22.8004
40.5441	27.848	3	3	58.5204	30.3947
251.386	21.1661	3	3	58.27	30.3574
134.056	233.979	4	3	58.1327	22.7343
233.831	15.9424	3	3	57.7303	30.2757
49.7371	248.117	4	3	56.5649	22.4674
156.855	119.107	3	3	56.2104	30.0371
257.784	233.615	4	3	55.7854	22.3308
231.257	103.969	3	3	55.7414	29.9609
236.105	42.3883	3	3	55.2319	29.8766
42.5025	276.515	4	3	55.0259	22.1952
61.1161	58.1828	4	3	54.9321	22.1783
60.3988	119.698	4	3	53.8102	21.9729
265.122	182.056	3	3	53.5752	29.5919
222.612	29.6157	4	3	52.7518	21.7739
139.965	205.928	3	3	51.5531	29.2209
112.822	0.247678	4	3	51.0761	21.4482
27.6271	38.5605	4	3	51.0728	21.4475
74.2823	155.928	4	3	50.8	21.3932
105.493	199.754	3	3	50.4816	29.0134
98.3849	227.376	3	3	50.2516	28.9678
123.97	243.985	4	3	50.2483	21.2823
233.303	71.1857	4	3	49.2502	21.0778
187.686	134.293	3	3	48.9491	28.7025
182.294	26.5057	4	3	48.7663	20.9769
213.267	275.436	4	3	48.7451	20.9724
98.0765	210.081	3	3	48.1595	28.5357
260.829	21.2646	4	3	48.066	20.8287
67.5845	123.02	4	3	47.9128	20.7959
67.1167	249.505	4	3	47.394	20.6841
6.9448	42.2759	4	3	47.3487	20.6742
266.089	199.469	4	3	47.2196	20.6461
221.382	64.3248	3	3	47.1854	28.3234
172.196	71.3971	3	3	46.843	28.247
279.879	206.038	4	3	46.4229	20.4709
212.175	76.8816	3	3	46.3839	28.1431
277.809	146.752	4	3	46.1598	20.4123
58.2328	153.758	3	3	46.0315	28.0621
253.142	93.4717	4	3	45.9176	20.3579
42.1631	182.088	4	3	45.4797	20.2589
189.502	258.73	4	3	44.7222	20.0852
190.098	280	4	3	44.6658	20.0721
130.451	68.4866	3	3	44.0445	27.5867
92.5842	244.62	4	3	43.9443	19.9033
181.125	113.58	3	3	43.6193	27.4805
188.941	25.9601	4	3	43.5574	19.8116
29.6646	215.214	4	3	43.3271	19.7566
70.7761	94.0797	4	3	42.9361	19.6625
263.883	289.739	4	3	42.3955	19.5309
245.266	208.596	3	3	41.6026	26.9547
260.36	220.23	4	3	41.3933	19.2823
97.731	113.064	4	3	41.2275	19.2406
254.724	163.936	4	3	41.2167	19.2379
121.847	172.493	4	3	41.098	19.2079
51.5885	118.537	4	3	40.9825	19.1787
37.2345	60.9201	4	3	40.9041	19.1588
75.3752	78.4616	3	3	40.5646	26.669
292.503	0.649317	4	3	40.4178	19.0345
242.364	12.1015	4	3	40.1345	18.9614
73.3807	228.558	4	3	39.6372	18.8319
50.5045	179.638	4	3	39.2644	18.7338
246.433	12.3345	4	3	38.4205	18.5083
183.692	252.325	4	3	38.0491	18.4076
261.735	198.446	4	3	38.0106	18.3971
141.156	280.341	3	3	37.6837	25.8192
247.811	153.246	4	3	37.1836	18.1694
280.296	291.591	3	3	36.8102	25.544
234.661	55.1193	4	3	36.1911	17.89
87.0648	260.011	4	3	35.8523	17.7931
71.658	293.66	4	3	35.5504	17.706
59.1884	28.0159	4	3	35.5209	17.6975
83.7808	238.912	4	3	35.5191	17.6969
50.3291	17.8966	4	3	35.3341	17.6432
46.5187	60.6487	3	3	34.3588	24.7246
59.427	14.573	4	3	34.1407	17.2909
51.6543	14.8134	4	3	33.6795	17.152
0.154013	45.6169	4	3	33.531	17.107
53.711	207.316	4	3	33.4146	17.0715
164.052	241.345	4	3	33.2687	17.027
247.694	6.14911	3	3	33.2606	24.3339
257.556	160.282	4	3	32.9372	16.9251
148.589	202.336	4	3	32.8036	16.8838
40.9143	278.339	4	3	32.4602	16.7771
89.0653	110.218	3	3	32.1289	23.9151
235.989	25.8879	3	3	32.0429	23.8826
43.5354	137.587	4	3	31.8551	16.587
25.4412	291.897	4	3	31.664	16.5263
150.114	253.73	4	3	31.4856	16.4694
121.551	187.858	4	3	31.3826	16.4365
46.6881	19.6705	4	3	31.3291	16.4193
32.3607	221.808	4	3	30.9371	16.293
58.2752	110.993	4	3	30.7281	16.2251
116.121	186.28	4	3	30.6187	16.1895
67.2513	158.3	4	3	30.4152	16.1229
185.884	146.462	3	3	30.1841	23.155
170.442	108.254	3	3	29.7769	22.9892
251.937	8.49677	3	3	29.694	22.9551
156.798	238.015	4	3	29.6115	15.8568
70.8843	35.9051	4	3	29.4417	15.7999
192.472	153.583	4	3	29.1294	15.6946
14.748	209.452	7	3	28.9872	22.8094
261.489	163.525	4	3	28.818	15.5888
33.3343	289.277	7	3	28.5096	22.6358
8.45826	279.184	4	3	26.3487	14.7211
197.37	56.2806	4	3	26.1248	14.6399
129.876	121.859	4	3	25.4547	14.3939
134.807	247.158	4	3	24.7408	14.1275
138.609	172.283	4	3	24.5889	14.0702
67.4231	110.522	4	3	24.5825	14.0678
86.0866	47.5135	4	3	24.5782	14.0661
72.555	38.5725	4	3	24.5764	14.0654
54.63	116.031	4	3	23.8064	13.7716
226.55	260.259	4	3	23.2475	13.5549
178.175	246.571	4	3	22.7355	13.3537
189.512	157.427	3	3	22.6992	19.6902
167.04	78.2453	3	3	22.4117	19.538
251.237	214.056	4	3	22.2798	13.1726
266.397	298.802	3	3	22.255	19.4544
93.918	267.382	3	3	22.1366	19.3909
32.0165	202.189	4	3	22.1065	13.1032
146.989	127.607	4	3	21.7236	12.9488
104.747	245.488	4	3	21.0777	12.685
43.413	232.111	4	3	20.6885	12.524
173.358	267.228	4	3	20.6015	12.4878
145.755	246.537	4	3	20.5966	12.4858
12.0389	105.762	4	3	20.4506	12.4249
174.154	259.055	4	3	20.3601	12.387
81.7804	69.2129	4	3	20.007	12.2385
101.343	240.719	3	3	19.923	18.1536
83.5844	139.52	4	3	19.7235	12.1183
80.425	103.274	3	3	19.1495	17.6979
292.648	238.388	4	3	18.737	11.6936
124.156	173.5	4	3	18.6854	11.6711
257.963	197.682	6	3	18.5034	18.4049
85.8059	262.684	4	3	18.3513	11.5247
142.646	249.735	3	3	18.1551	17.0934
73.0887	10.6125	4	3	18.1518	11.4367
120.094	205.496	3	3	17.868	16.915
296.603	229.149	4	3	17.5686	11.1772
27.4114	121.032	4	3	17.4687	11.1323
195.811	56.0637	3	3	17.4346	16.642
37.1941	175.019	4	3	17.1849	11.0044
148.286	247.048	4	3	16.9934	10.9175
61.931	114.349	4	3	16.6436	10.7578
195.129	43.7048	4	3	15.5949	10.2708
3.77278	297.607	4	3	15.2999	10.1316
147.692	124.427	4	3	15.2679	10.1164
106.005	251.01	3	3	15.1292	15.118
188.042	160.975	3	3	15.1031	15.1001
97.1804	108.023	3	3	14.9234	14.9758
65.1337	0.80968	4	3	14.8217	9.90369
137.018	190.431	3	3	14.7997	14.8899
223.715	20.5412	4	3	14.729	9.8592
185.566	39.3987	4	3	14.7131	9.85153
32.8443	286.121	4	3	14.6584	9.82527
49.8073	169.046	3	3	14.634	14.7741
29.4796	292.296	4	3	14.5811	9.78804
101.509	232.681	4	3	14.3165	9.66004
52.3381	274.394	4	3	14.2373	9.62156
63.3323	118.83	4	3	14.0371	9.52402
168.755	231.146	4	3	13.9325	9.47286
6.0914	44.0272	4	3	13.8481	9.4315
220.678	296.013	4	3	13.8075	9.41152
82.5319	98.175	4	3	13.627	9.32266
89.6966	113.301	4	3	13.5549	9.28707
52.7897	121.328	4	3	13.4339	9.22717
56.4235	119.186	4	3	13.3381	9.17962
37.7018	226.627	4	3	13.2856	9.15351
21.1616	222.942	4	3	13.2136	9.11765
206.983	12.9552	4	3	12.9885	9.00518
218.803	60.5139	4	3	12.9232	8.97241
146.085	153.101	3	3	12.5584	13.2655
176.561	267.627	4	3	12.5562	8.78737
31.1647	39.8027	4	3	12.4649	8.7411
192.807	44.6911	4	3	12.4604	8.73879
175.023	19.3186	4	3	12.4466	8.73182
41.7337	226.585	4	3	12.4226	8.71961
87.4948	54.663	4	3	12.3051	8.65984
34.4186	63.6954	4	3	12.1234	8.56703
31.5068	159.072	4	3	11.8321	8.41741
193.003	33.8515	4	3	11.7882	8.3948
172.833	22.6591	3	3	11.6958	12.6053
111.06	191.611	3	3	11.6946	12.6043
288.651	102.317	4	3	11.6936	8.34593
58.1919	128.149	4	3	11.6683	8.3328
237.935	53.9663	4	3	11.6249	8.31036
15.7955	258.927	4	3	11.4822	8.23632
16.8638	252.457	4	3	11.3171	8.15032
223.832	297.958	4	3	11.1989	8.08853
206.582	63.1927	3	3	10.9565	12.0231
103.081	249.045	3	3	10.9401	12.01
115.443	289.177	4	3	10.8595	7.9101
25.7053	289.012	4	3	10.5941	7.76962
204.706	204.272	3	3	10.5821	11.7225
144.262	27.682	3	3	10.4237	11.5941
243.783	142.242	3	3	10.3721	11.5521
11.1517	37.0456	3	3	10.318	11.508
176.116	262.477	4	3	10.1591	7.5373
79.3511	250.816	3	3	10.1587	11.3776
