X	Y	DBH	Mortclass
20.0773	191.223	90.3885	2	
65.5045	21.4457	90.3376	2	
86.9924	82.9878	90.3368	1	
260.149	131.242	90.1387	1	
32.5282	144.274	89.9069	1	
219.311	143.727	89.8866	1	
148.971	13.6446	89.7804	1	
180.553	289.21	89.7325	2	
118.458	126.994	89.6651	1	
31.8521	7.89338	89.6115	1	
203.622	40.6667	89.2679	2	
139.223	34.0685	89.138	1	
172.511	283.385	89.1265	1	
263.641	136.006	89.07	1	
297.322	200.544	88.9922	2	
208.465	120.826	88.8702	1	
21.7369	274.146	88.8102	1	
257.835	254.506	88.6652	1	
226.574	85.7877	88.5481	1	
269.167	150.349	88.545	2	
279.079	46.4912	88.3719	1	
33.7172	299.245	88.2524	1	
48.2579	292.054	88.2298	1	
70.5948	192.34	88.1863	1	
125.046	19.8629	88.1809	1	
107.204	131.779	88.0957	2	
0.928586	249.652	88.0764	1	
172.405	80.2575	88.0495	1	
74.9928	21.3878	87.9412	1	
209.541	157.043	87.8765	2	
156.022	74.9414	87.8585	1	
170.925	203.844	87.6582	2	
142.405	3.80412	87.4412	2	
119.352	226.245	87.3556	1	
83.4516	60.1862	87.3484	1	
13.2328	123.98	87.228	2	
87.0173	90.4025	87.2237	1	
223.674	84.1498	86.9997	1	
283.236	152.175	86.9437	1	
93.2151	124.544	86.7443	1	
240.213	149.998	86.6191	1	
41.1268	290.718	86.3108	1	
275.719	129.413	86.2971	1	
164.838	270.693	86.1224	1	
111.265	66.7177	86.1096	1	
126.754	122.519	86.0251	2	
256.599	120.844	86.0145	1	
227.302	229.351	85.1683	1	
210.464	72.506	85.1077	1	
69.0916	19.4476	85.0957	1	
52.2821	260.394	84.9299	2	
174.958	134.162	84.9138	1	
66.5774	262.321	84.8575	2	
27.7561	112.29	84.8228	1	
111.965	127.933	84.3019	1	
117.207	148.458	84.1166	1	
74.2544	272.032	84.0661	1	
284.423	76.0656	84.0647	1	
172.667	195.932	83.6733	1	
35.6345	113.256	83.6195	2	
112.097	206.106	83.5899	2	
1.46894	92.6054	83.3011	1	
0.75233	110.484	83.2936	1	
43.5043	195.677	83.2925	2	
9.80033	164.731	83.0638	1	
86.7638	134.155	83.0545	2	
175.327	172.967	83.019	1	
279.763	97.6536	82.8893	1	
118.903	13.6341	82.7576	1	
82.742	162.531	82.737	1	
188.279	8.0756	82.6641	1	
256.89	254.083	82.5103	2	
50.2891	88.8031	82.4407	1	
128.269	131.505	82.3861	1	
107.616	228.831	82.3456	2	
180.801	191.234	82.0181	1	
245.465	73.0035	81.7095	1	
50.9444	131.928	81.6826	1	
174.517	177.841	81.6575	2	
40.0239	243.887	81.4226	2	
190.74	111.06	81.1003	2	
104.801	178.931	81.0092	1	
290.296	49.0705	80.9704	2	
25.7229	209.965	80.8657	1	
68.6169	46.2125	80.7652	1	
193.323	105.076	80.4937	1	
180.192	217.322	80.4025	1	
279.984	121.362	79.9465	2	
147.822	83.002	79.8976	1	
213.479	196.367	79.7438	1	
213.933	165.279	79.6278	1	
257.383	85.5031	79.5853	1	
201.259	73.4865	79.3961	1	
37.4772	154.22	79.2869	2	
262.847	247.126	79.0873	1	
131.255	4.43259	79.014	2	
126.594	114.563	79.0017	1	
26.3911	62.5081	78.9318	2	
172.747	65.9294	78.7937	2	
295.043	85.7226	78.2441	1	
57.7818	178.324	78.2406	2	
282.571	58.2121	78.0828	1	
294.336	271.476	77.9073	1	
248.431	171.397	77.7071	2	
204.587	261.33	77.6523	2	
30.6993	209.455	77.5377	1	
101.948	124.601	77.2145	2	
116.426	66.2458	77.0659	2	
20.9538	151.702	77.033	1	
164.59	278.676	77.0012	2	
206.588	195.626	76.9969	2	
72.7049	255.103	76.7003	1	
291.414	65.6006	76.6643	1	
288.537	141.091	76.4274	2	
181.972	274.722	76.3906	2	
223.119	131.419	76.3452	2	
284.1	201.822	76.3042	1	
286.678	90.5225	76.2708	2	
156.317	183.073	76.1821	1	
245.685	247.257	76.1182	2	
16.7658	90.5526	75.8843	2	
215.579	169.174	75.3893	1	
138.124	124.839	75.2406	1	
241.766	219.035	74.8768	2	
205.309	97.6525	74.7549	1	
51.5762	95.3847	74.6887	1	
241.356	229.735	74.6432	1	
236.268	192.242	74.6107	1	
201.825	201.426	74.1132	1	
251.972	249.762	74.0573	1	
279.879	114.757	73.9015	1	
274.778	20.3358	73.7867	1	
174.203	198.766	73.7856	1	
268.256	0.921309	73.7539	1	
172.758	275.373	73.4747	2	
187.703	282.632	73.361	1	
51.0456	47.0596	73.3456	2	
208.354	147.447	73.1535	1	
59.4839	215.499	73.0354	2	
85.9348	204.082	72.9537	1	
276.839	161.826	72.9464	1	
267.04	131.46	72.9168	1	
124.029	110.279	72.6506	1	
255.696	240.429	72.6113	1	
38.9196	157.983	71.8481	1	
58.3807	236.51	71.693	2	
37.8963	177.617	71.4035	1	
25.9126	195.564	71.3234	1	
150.895	123.495	71.2661	2	
129.799	35.3869	71.2435	1	
130.184	98.0401	71.1489	1	
236.025	272.574	71.1437	2	
70.3657	243.463	71.1215	1	
41.3024	108.924	71.0563	2	
184.67	263.815	70.8902	1	
118.345	249.12	70.6539	1	
114.726	281.045	70.6313	2	
263.967	10.5551	70.5756	1	
140.368	148.341	70.4994	1	
274.292	77.7979	70.3892	1	
104.898	182.399	70.3793	1	
112.35	164.082	70.1347	1	
71.8716	281.138	70.0781	1	
52.5349	256.637	69.4119	1	
147.092	278.939	69.3715	1	
0.786871	291.519	69.1877	2	
252.626	45.2563	69.0866	2	
276.369	1.89195	68.7462	2	
61.2244	169.974	68.5102	1	
200.384	22.4818	68.4031	1	
53.2774	62.0556	68.3918	1	
47.2373	243.539	68.2972	1	
55.0765	179.585	67.8921	1	
297.481	53.7607	67.8868	2	
26.6605	118.042	67.7657	1	
62.0113	36.7122	67.6006	1	
81.557	299.044	67.5436	1	
145.029	128.718	67.5015	1	
179.381	140.673	67.1413	1	
80.5182	228.189	66.7215	2	
251.842	235.942	66.5956	2	
7.6873	43.1034	66.5505	2	
266.918	142.666	66.4881	1	
276.838	202.428	66.4596	1	
209.24	291.309	66.4571	1	
292.56	120.901	66.3797	1	
101.123	266.972	66.3701	2	
